Questions,Answers
my name is in selected list but did not get my interview greetings,don't worry list sill be issued soon.
I applied online where will I get the admission slip,slip will given to while entry test at main door admission help if did not get it on online site.
how to register a complain about lost id card,first you have file a FIR at nearest police station and then collect a challan voucher and submit it in any HBL bank.
what is the procedure of duplicate id card,first submit your paid challan at admission desk then wait for a week your card will be given to you.
what is the fees of duplicate id card,charges for duplicate cards is 500 PKR
describe university little more.,"Sindh Madressatul Islam University (SMIU) is a chartered University duly recognized by the Higher Education Commission of Pakistan. It is one of the oldest institutions in South Asia, which started as a school in 1885, became a college in 1943 and a university in February 2012."
detail about smiu.,"Sindh Madressatul Islam University (SMIU) is a chartered University duly recognized by the Higher Education Commission of Pakistan. It is one of the oldest institutions in South Asia, which started as a school in 1885, became a college in 1943 and a university in February 2012."
when this university establish,"Sindh Madressatul Islam University (SMIU) is a chartered University duly recognized by the Higher Education Commission of Pakistan. It is one of the oldest institutions in South Asia, which started as a school in 1885, became a college in 1943 and a university in February 2012."
is it recognize by hec,"Sindh Madressatul Islam University (SMIU) is a chartered University duly recognized by the Higher Education Commission of Pakistan. It is one of the oldest institutions in South Asia, which started as a school in 1885, became a college in 1943 and a university in February 2012."
details about university.,"Sindh Madressatul Islam University (SMIU) is a chartered University duly recognized by the Higher Education Commission of Pakistan. It is one of the oldest institutions in South Asia, which started as a school in 1885, became a college in 1943 and a university in February 2012."
youtube channel of university,you may click on this link https://www.youtube.com/channel/UCFgimy2ABAwoT723zpBhMcA
university youtube channel link,https://www.youtube.com/channel/UCFgimy2ABAwoT723zpBhMcA
email address of smiu,info@smiu.edu.pk
smiu email address,info@smiu.edu.pk
university name,smiu
name of university,Sindh Madressatul Islam University (SMIU)
university,smiu
what facilities uni have,"Gym, Canteen, Library, Masjid, Sitting Area, Girls Common Room, Auditorium, Conference Hall, Campus Medical Unit"
facilities for students,"Gym, Canteen, Library, Masjid, Sitting Area, Girls Common Room, Auditorium, Conference Hall, Campus Medical Unit"
facilities of university for student,"Gym, Canteen, Library, Masjid, Sitting Area, Girls Common Room, Auditorium, Conference Hall, Campus Medical Unit"
summer semester policies,A student who has either failed or has been stopped to take the examination due to shortage of attendance or wishes to improve his/her grade is allowed to register in summer semester. A student will only be allowed to register maximum of 2 courses (of 6 credit hours). The contact hours per week during the Summer Semester will be adjusted accordingly to ensure that the course is completely taught in a summer session as compared to a regular (Fall/Spring) semester (i.e. total duration will be at least 48 hours including final examination).
policies of summer semester,A student who has either failed or has been stopped to take the examination due to shortage of attendance or wishes to improve his/her grade is allowed to register in summer semester. A student will only be allowed to register maximum of 2 courses (of 6 credit hours). The contact hours per week during the Summer Semester will be adjusted accordingly to ensure that the course is completely taught in a summer session as compared to a regular (Fall/Spring) semester (i.e. total duration will be at least 48 hours including final examination).
Undergraduate / Graduate Academic Regulation Academic Year,"There will be two regular semesters (Fall and Spring) in an academic year. Each semester will spread over 16-18 weeks (inclusive of 1 - 2 weeks for exams). SMIU may enroll students (if they fulfill SMIU enrollment criteria) for any semester or for any single course and will issue transcript with letter grade(s) at the end of that semester.
"
repeating of courses,"If the student gets 'F' grade, he/she will be required to repeat the course. Undergraduate students (who is maintaining CGPA 2.0 or above and desire to improve CGPA) may be allowed to repeat a course in which he/she has"
repeat course,"If the student gets 'F' grade, he/she will be required to repeat the course. Undergraduate students (who is maintaining CGPA 2.0 or above and desire to improve CGPA) may be allowed to repeat a course in which he/she has"
course repetation policy,"If the student gets 'F' grade, he/she will be required to repeat the course. Undergraduate students (who is maintaining CGPA 2.0 or above and desire to improve CGPA) may be allowed to repeat a course in which he/she has"
when you allow to repeat course,"If the student gets 'F' grade, he/she will be required to repeat the course. Undergraduate students (who is maintaining CGPA 2.0 or above and desire to improve CGPA) may be allowed to repeat a course in which he/she has"
Cancellation of Admission,Admission will be stand cancelled automatically without any notification if a student remains absent for 30 consecutive days (without information) after the commencement of the semester.
policies of cancellation admission,Admission will be stand cancelled automatically without any notification if a student remains absent for 30 consecutive days (without information) after the commencement of the semester.
admission cancel policy,Admission will be stand cancelled automatically without any notification if a student remains absent for 30 consecutive days (without information) after the commencement of the semester.
Enrollment and Registration in Courses,"Students are required to choose the courses they wish to enroll in, prior to the start of a semester. For this purpose the University will publish a schedule for enrollment of students. The students may make any change (add/drop) in the courses they are taking within second week of the semester."
Enrollment and Registration in Courses policies,"Students are required to choose the courses they wish to enroll in, prior to the start of a semester. For this purpose the University will publish a schedule for enrollment of students. The students may make any change (add/drop) in the courses they are taking within second week of the semester."
Student Assessment,"sectional marks are 40, mid term marks are 20, and final term marks are 40"
admission eligibility criteria for apply BBA 4 year program,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
admission eligibility criteria for apply BBA 4 year undergraduate program,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
admission apply for BBA 4 year program detail,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
admission eligibility detail for BS Accounting and Finance 4 year program,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
apply to admission for BS Accounting 4 year program,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
BS Finance 4 year undergraduate program apply criteria,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
BS Computer Science apply criteria,"Intermediate (Pre-Eng, DAE) or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)"
BS Computer Science 4 year admission eligibility criteria,"Intermediate (Pre-Eng, DAE) or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)"
Bechelor in Computer Science eligibility criteria,"Intermediate (Pre-Eng, DAE) or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)"
BS Education 4 year admission eligibility criteria,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
Bechelor Studies in Education admission eligibility criteria,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
BS Education admission apply criteria,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
BS Media Studies 4 year admission eligibility criteria,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
Bechlelor in Media Studies apply criteria,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
BS Media Studies eligibility criteria for admisssion,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
BS Environmental Sciences 4 year admission criteria,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
BS Environmental Sciences apply admission criteria,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
Bechelor Studies in Environmental Sciences eligibility for admission,Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)
BBA 2- Years admission criteria,14 years of formal education (BA/BSc/B.Com etc.) with 50% marks on 2.5 CGPA from HEC recognized institute along with NTS General 50% score.
Bechelor in Business Administration 2- Years admission eligibility criteria,14 years of formal education (BA/BSc/B.Com etc.) with 50% marks on 2.5 CGPA from HEC recognized institute along with NTS General 50% score.
BBA 2- Years admission apply criteria,14 years of formal education (BA/BSc/B.Com etc.) with 50% marks on 2.5 CGPA from HEC recognized institute along with NTS General 50% score.
MBA 2- Years admission apply criteria,16 years of Formal education (BE/MBA/BSCS etc.) With 50% marks or 2.5 CGPA from HEC recognized institute along with NTS-General 50% score. However the degree may be completed in a minimum of 1.5 years by the candidates with 16 years of relevant business education (BBA/M.Com/Old MBA etc.)
MBA 2- Years admission criteria for new student,16 years of Formal education (BE/MBA/BSCS etc.) With 50% marks or 2.5 CGPA from HEC recognized institute along with NTS-General 50% score. However the degree may be completed in a minimum of 1.5 years by the candidates with 16 years of relevant business education (BBA/M.Com/Old MBA etc.)
Master in Business Administration 2- Years admission eligibility criteria,16 years of Formal education (BE/MBA/BSCS etc.) With 50% marks or 2.5 CGPA from HEC recognized institute along with NTS-General 50% score. However the degree may be completed in a minimum of 1.5 years by the candidates with 16 years of relevant business education (BBA/M.Com/Old MBA etc.)
Ms in Management Sciences/Public Administration 2-Years admission eligibility criteria,"16 years of relevant business (old MBA, 4years BBA, M. Com, MPA etc.) education with 50% marks or 2.5 CGPA from HEC recognized institute along with NTS-General 50% score"
MS in Management Sciences/Public Administration 2-Years admission criteria,"16 years of relevant business (old MBA, 4years BBA, M. Com, MPA etc.) education with 50% marks or 2.5 CGPA from HEC recognized institute along with NTS-General 50% score"
master of science Management Sciences/Public Administration 2-Years admission apply,"16 years of relevant business (old MBA, 4years BBA, M. Com, MPA etc.) education with 50% marks or 2.5 CGPA from HEC recognized institute along with NTS-General 50% score"
master of science Computer Science 2-Years admission apply,"16 years of relevant (Computer Science, MCS, BSCS, BSCN. BSSE, etc.) Education with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score."
master of science Computer Science 2-Years admission eligibility apply criteria,"16 years of relevant (Computer Science, MCS, BSCS, BSCN. BSSE, etc.) Education with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score."
MS in Computer Science 2-Years admission apply criteria,"16 years of relevant (Computer Science, MCS, BSCS, BSCN. BSSE, etc.) Education with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score."
MS in Education Science 2-Years admission apply criteria,"16 years of relevant education (BS-Education, MA-Education/M.Ed) with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score."
MS in Education 2-Years admission eligibility criteria,"16 years of relevant education (BS-Education, MA-Education/M.Ed) with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score."
Master Science in Education 2-Years admission apply criteria,"16 years of relevant education (BS-Education, MA-Education/M.Ed) with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score."
Master Science in Media studies 2-Years admission apply criteria,"16 years of relevant education (BS Media Studies, BS Mass Communication with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score"
MS in Media studies 2-Years admission eligibility criteria,"16 years of relevant education (BS Media Studies, BS Mass Communication with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score"
Master Science in Media studies 2-Years admission apply criteria for student,"16 years of relevant education (BS Media Studies, BS Mass Communication with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score"
Master Science in Environmental science 2-Years admission apply criteria for student,"16 years of relevant education (BE, BS, MBBS, BDS or Traditional MSc) with 50% marks or 2.5 CGPA From a HEC recognized institute along with NTS-General 50% score."
MS in Environmental science 2-Years admission apply criteria,"16 years of relevant education (BE, BS, MBBS, BDS or Traditional MSc) with 50% marks or 2.5 CGPA From a HEC recognized institute along with NTS-General 50% score."
Master Science in Environmental science 2-Years admission eligibility criteria,"16 years of relevant education (BE, BS, MBBS, BDS or Traditional MSc) with 50% marks or 2.5 CGPA From a HEC recognized institute along with NTS-General 50% score."
PhD in Computer Science (3 Years Program) for admission details,A candidate must have a Master's degree in Computer Science/Systems Engineering or Software Engineering or relevant discipline. completed a 6 credit hours of thesis component during their Master's degree. Otherwise 6 credit hours of research work take in semester. Candidates must submit a NTS GAT Subject of at least 60% cumulative OR GRE Subject Test conducted by the ETS with minimum 60% percentile Score at the time of admission. Minimum CGPA should be 3.0 on a scale of 4.
PhD in Computer Science (3 Years Program) admission criteria for apply,A candidate must have a Master's degree in Computer Science/Systems Engineering or Software Engineering or relevant discipline. completed a 6 credit hours of thesis component during their Master's degree. Otherwise 6 credit hours of research work take in semester. Candidates must submit a NTS GAT Subject of at least 60% cumulative OR GRE Subject Test conducted by the ETS with minimum 60% percentile Score at the time of admission. Minimum CGPA should be 3.0 on a scale of 4.
PhD in Computer Science (3 Years Program) admission eligibility criteria,A candidate must have a Master's degree in Computer Science/Systems Engineering or Software Engineering or relevant discipline. completed a 6 credit hours of thesis component during their Master's degree. Otherwise 6 credit hours of research work take in semester. Candidates must submit a NTS GAT Subject of at least 60% cumulative OR GRE Subject Test conducted by the ETS with minimum 60% percentile Score at the time of admission. Minimum CGPA should be 3.0 on a scale of 4.
"Academic Policies
",http://www.smiu.edu.pk/academic-policies.php
Admissions and Examinations Policy,http://www.smiu.edu.pk/images/Admissions-Examinations-Policy.pdf
curriculum structure BSCS,"SMI University offers a four years of degree program and , it has 8 semesters, 46 courses, and the 138 total credit hours"
curriculum structure BS computer science,"SMI University offers a four years of degree program and , it has 8 semesters, 46 courses, and the 138 total credit hours"
curriculum structure Bachelor's in computer science,"SMI University offers a four years of degree program and , it has 8 semesters, 46 courses, and the 138 total credit hours"
where can i get the curriculum structure of BSCS,http://smiu.edu.pk/cs/bscs_program.php
where can i get the list of semester courses of BSCS,http://smiu.edu.pk/cs/bscs_program.php
where can i get the curriculum structure of BS Computer Science,http://smiu.edu.pk/cs/bscs_program.php
curriculum structure BBA,"SMI University offers a four years of degree program and , it has 8 semesters, 44 courses, and the 130 total credit hours"
curriculum structure Bachelor of Business Administration,"SMI University offers a four years of degree program and , it has 8 semesters, 44 courses, and the 130 total credit hours"
curriculum structure Bachelor in Business Administration,"SMI University offers a four years of degree program and, it has 8 semesters, 44 courses, and the 130 total credit hours"
where can i get the curriculum structure of BBA,http://smiu.edu.pk/business/bba-program.php
where can i get the list of semester courses of BBA,http://smiu.edu.pk/business/bba-program.php
where can i get the curriculum structure of Bachelor of Business Administration,http://smiu.edu.pk/business/bba-program.php
curriculum structure BBA 2 years,"SMI University offers a 2 years of degree program and , it has 5 semesters, 76 courses, and the 76 total credit hours"
curriculum structure Bachelor of Business Administration 2 years,"SMI University offers a 2 years of degree program and , it has 5 semesters, 76 courses, and the 76 total credit hours"
curriculum structure Bachelor in Business Administration 2 years,"SMI University offers a 2 years of degree program and , it has 5 semesters, 76 courses, and the 76 total credit hours"
where can i get the curriculum structure of BBA 2 years,http://business.smiu.edu.pk/bba2-program.php
where can i get the list of semester courses of BBA 2 years,http://business.smiu.edu.pk/bba2-program.php
where can i get the curriculum structure of Bachelor of Business Administration 2 years,http://business.smiu.edu.pk/bba2-program.php
curriculum structure accounting and Finance,"SMI University offers a four years of degree program and , it has 8 semesters, 44 courses, and the 130 total credit hours"
curriculum structure BS Accounting and Finance,"SMI University offers a four years of degree program and , it has 8 semesters, 44 courses, and the 130 total credit hours"
curriculum structure Bachelor's in Accounting and Finance,"SMI University offers a four years of degree program and , it has 8 semesters, 44 courses, and the 130 total credit hours"
where can i get the curriculum structure of BS Accounting and Finance,http://business.smiu.edu.pk/accounting-finance.php
where can i get the list of semester courses of BS Accounting and Finance,http://business.smiu.edu.pk/accounting-finance.php
curriculum structure BS Education,"SMI University offers a 4 years of degree program and students are required to successfully complete minimum 138 credit hours, which include 46 courses: 9 compulsory, 9 electives, 9 foundation courses, 14 major courses and 5 elective courses. "
curriculum structure Bachelor in Education,"SMI University offers a 4 years of degree program and students are required to successfully complete minimum 138 credit hours, which include 46 courses: 9 compulsory, 9 electives, 9 foundation courses, 14 major courses and 5 elective courses. "
where can i get the curriculum structure of BS Education,http://www.smiu.edu.pk/undergraduate-programs.php
where can i get the list of semester courses of BS Education,http://www.smiu.edu.pk/undergraduate-programs.php
where can i get the curriculum structure of Bachelor in Education,http://www.smiu.edu.pk/undergraduate-programs.php
"curriculum structure BS Media Studies
","SMI University offers a four years of degree program and , it has 8 semesters, 46 courses, and the 138 total credit hours"
"curriculum structure Bachelor's of Media Studies
","SMI University offers a four years of degree program and , it has 8 semesters, 46 courses, and the 138 total credit hours"
"where can i get the curriculum structure of BS Media Studies
",http://media.smiu.edu.pk/bs-media-studies-new.php
"where can i get the list of semester courses of BS Media Studies
",http://media.smiu.edu.pk/bs-media-studies-new.php
"curriculum structure BS Environmental Sciences

","SMI University offers a four years of degree program and , it has 8 semesters, 46 courses, and the 138 total credit hours"
"curriculum structure Bachelor's of Environmental Sciences

","SMI University offers a four years of degree program and , it has 8 semesters, 46 courses, and the 138 total credit hours"
"where can i get the curriculum structure of BS Environmental Sciences

",http://smiu.edu.pk/env/bs-environmental-sciences.php
"where can i get the list of semester courses of BS Environmental Sciences

",http://smiu.edu.pk/env/bs-environmental-sciences.php
What undergraduate degree programs are offered at the University of SMIU and what are their admissions requirements,look at advertisement of admission and also visit website
What graduate degree programs are offered at the University of SMIU and what are their admissions requirements,look at advertisement of admission and also visit website
Does the University of SMIU offer degree programs in English,Not yet for further detail call on phone number
Can I transfer to the University of SMIU from another university,yes for further detail call on phone number
What short-term programs are offered by the University of SMIU,for detail call on phone number
What student exchange programs are offered by the University of SMIU,yes for further detail call on phone number
I am not from a partner university. Can I still take part in a student exchange program,for detail call on phone number
Are there any Massive Open Online Courses (MOOCs) available at the University of SMIU,for detail call on phone number
Does the University of SMIU offer Japanese language classes,no
How much is tuition at the University and what kinds of fees are there,visit our website
What kinds of scholarships are available,open merit and need base
What kind of housing is available for SMIU students/researchers,it's not available
How do I arrange a visit as part of a university delegation or other official group,for detail call on phone number
I want to contact a specific professor/researcher or someone who is doing research in a certain field.,for detail call on phone number
Where can I find information on career opportunities at the University,for detail call on phone number
How can I post employment opportunities for SMIU alumni/students,for detail call on phone number
I am searching for records on a nonliving family member who graduated from/was enrolled in the University of SMIU.,for detail call on phone number
Can I apply using the paper application,We only accept applications submitted electronically. This allows us to process your application more quickly. It also keeps you informed of the status of your application throughout the process by checking it online.
