answers,answerstag,questions
you can visit this page for detail http://www.smiu.edu.pk/academic-policies.php,176,Undergraduate / Graduate Academic Regulation Academic Year
If you fail you need to repeat course. Undergraduate students ( CGPA 2.0 or above and desire to improve CGPA) may be allowed to repeat,180,repeating of courses
If you fail you need to repeat course. Undergraduate students ( CGPA 2.0 or above and desire to improve CGPA) may be allowed to repeat,180,repeat course
If you fail you need to repeat course. Undergraduate students ( CGPA 2.0 or above and desire to improve CGPA) may be allowed to repeat,180,course repetation policy
If you fail you need to repeat course. Undergraduate students ( CGPA 2.0 or above and desire to improve CGPA) may be allowed to repeat,180,when you allow to repeat course
Admission will be stand cancelled automatically without any notification if a student remains absent for 30 consecutive days (without information) after the commencement of the semester.,183,Cancellation of Admission
Admission will be stand cancelled automatically without any notification if a student remains absent for 30 consecutive days (without information) after the commencement of the semester.,183,policies of cancellation admission
Admission will be stand cancelled automatically without any notification if a student remains absent for 30 consecutive days (without information) after the commencement of the semester.,183,admission cancel policy
visit this page http://www.smiu.edu.pk/academic-policies.php.,186,Enrollment and Registration in Courses
visit this page http://www.smiu.edu.pk/academic-policies.php.,186,Enrollment and Registration in Courses policies
"sectional marks are 40, mid term marks are 20, and final term marks are 40",188,Student Assessment
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),189,admission eligibility criteria for apply BBA 4 year program
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),189,admission eligibility criteria for apply BBA 4 year undergraduate program
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),189,admission apply for BBA 4 year program detail
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),189,admission eligibility detail for BS Accounting and Finance 4 year program
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),189,apply to admission for BS Accounting 4 year program
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),189,BS Finance 4 year undergraduate program apply criteria
"Intermediate (Pre-Eng, DAE) or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)",195,BS Computer Science apply criteria
"Intermediate (Pre-Eng, DAE) or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)",195,BS Computer Science 4 year admission eligibility criteria
"Intermediate (Pre-Eng, DAE) or equivalent with at least 50% marks or equivalency of A Level (excluding general papers)",195,Bechelor in Computer Science eligibility criteria
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),198,BS Education 4 year admission eligibility criteria
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),198,Bechelor Studies in Education admission eligibility criteria
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),198,BS Education admission apply criteria
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),198,BS Media Studies 4 year admission eligibility criteria
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),198,Bechlelor in Media Studies apply criteria
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),198,BS Media Studies eligibility criteria for admisssion
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),198,BS Environmental Sciences 4 year admission criteria
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),198,BS Environmental Sciences apply admission criteria
Intermediate or equivalent with at least 50% marks or equivalency of A Level (excluding general papers),198,Bechelor Studies in Environmental Sciences eligibility for admission
14 years of formal education (BA/BSc/B.Com etc.) with 50% marks on 2.5 CGPA from HEC recognized institute along with NTS General 50% score.,207,BBA 2- Years admission criteria
14 years of formal education (BA/BSc/B.Com etc.) with 50% marks on 2.5 CGPA from HEC recognized institute along with NTS General 50% score.,207,Bechelor in Business Administration 2- Years admission eligibility criteria
14 years of formal education (BA/BSc/B.Com etc.) with 50% marks on 2.5 CGPA from HEC recognized institute along with NTS General 50% score.,207,BBA 2- Years admission apply criteria
visit this link http://www.smiu.edu.pk/admissions-criteria.php,210,MBA 2- Years admission apply criteria
visit this link http://www.smiu.edu.pk/admissions-criteria.php,210,MBA 2- Years admission criteria for new student
visit this link http://www.smiu.edu.pk/admissions-criteria.php,210,Master in Business Administration 2- Years admission eligibility criteria
"16 years of relevant business (old MBA, 4years BBA, M. Com, MPA etc.) education with 50% marks or 2.5 CGPA from HEC recognized institute along with NTS-General 50% score",213,Ms in Management Sciences/Public Administration 2-Years admission eligibility criteria
"16 years of relevant business (old MBA, 4years BBA, M. Com, MPA etc.) education with 50% marks or 2.5 CGPA from HEC recognized institute along with NTS-General 50% score",213,MS in Management Sciences/Public Administration 2-Years admission criteria
"16 years of relevant business (old MBA, 4years BBA, M. Com, MPA etc.) education with 50% marks or 2.5 CGPA from HEC recognized institute along with NTS-General 50% score",213,master of science Management Sciences/Public Administration 2-Years admission apply
"16 years of relevant (Computer Science, MCS, BSCS, BSCN. BSSE, etc.) Education with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score.",216,master of science Computer Science 2-Years admission apply
"16 years of relevant (Computer Science, MCS, BSCS, BSCN. BSSE, etc.) Education with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score.",216,master of science Computer Science 2-Years admission eligibility apply criteria
"16 years of relevant (Computer Science, MCS, BSCS, BSCN. BSSE, etc.) Education with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score.",216,MS in Computer Science 2-Years admission apply criteria
"16 years of relevant education (BS-Education, MA-Education/M.Ed) with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score.",219,MS in Education Science 2-Years admission apply criteria
"16 years of relevant education (BS-Education, MA-Education/M.Ed) with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score.",219,MS in Education 2-Years admission eligibility criteria
"16 years of relevant education (BS-Education, MA-Education/M.Ed) with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score.",219,Master Science in Education 2-Years admission apply criteria
"16 years of relevant education (BS Media Studies, BS Mass Communication with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score",219,Master Science in Media studies 2-Years admission apply criteria
"16 years of relevant education (BS Media Studies, BS Mass Communication with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score",219,MS in Media studies 2-Years admission eligibility criteria
"16 years of relevant education (BS Media Studies, BS Mass Communication with 50% marks or 2.5 CGPA from a HEC recognized institute along with NTS-General 50% score",219,Master Science in Media studies 2-Years admission apply criteria for student
"16 years of relevant education (BE, BS, MBBS, BDS or Traditional MSc) with 50% marks or 2.5 CGPA From a HEC recognized institute along with NTS-General 50% score.",225,Master Science in Environmental science 2-Years admission apply criteria for student
"16 years of relevant education (BE, BS, MBBS, BDS or Traditional MSc) with 50% marks or 2.5 CGPA From a HEC recognized institute along with NTS-General 50% score.",225,MS in Environmental science 2-Years admission apply criteria
"16 years of relevant education (BE, BS, MBBS, BDS or Traditional MSc) with 50% marks or 2.5 CGPA From a HEC recognized institute along with NTS-General 50% score.",225,Master Science in Environmental science 2-Years admission eligibility criteria
you can visit web for detail http://www.smiu.edu.pk/admissions-criteria.php,228,PhD in Computer Science (3 Years Program) for admission details
you can visit web for detail http://www.smiu.edu.pk/admissions-criteria.php,228,PhD in Computer Science (3 Years Program) admission criteria for apply
you can visit web for detail http://www.smiu.edu.pk/admissions-criteria.php,228,PhD in Computer Science (3 Years Program) admission eligibility criteria
http://www.smiu.edu.pk/academic-policies.php,228,"Academic Policies
"
http://www.smiu.edu.pk/images/Admissions-Examinations-Policy.pdf,232,Admissions and Examinations Policy
"SMI University offers a four years of degree program and , it has 8 semesters, 46 courses, and the 138 total credit hours",233,curriculum structure BSCS
"SMI University offers a four years of degree program and , it has 8 semesters, 46 courses, and the 138 total credit hours",233,curriculum structure BS computer science
"SMI University offers a four years of degree program and , it has 8 semesters, 46 courses, and the 138 total credit hours",233,curriculum structure Bachelor's in computer science
http://smiu.edu.pk/cs/bscs_program.php,236,where can i get the curriculum structure of BSCS
http://smiu.edu.pk/cs/bscs_program.php,236,where can i get the list of semester courses of BSCS
http://smiu.edu.pk/cs/bscs_program.php,236,where can i get the curriculum structure of BS Computer Science
"SMI University offers a four years of degree program and , it has 8 semesters, 44 courses, and the 130 total credit hours",239,curriculum structure BBA
"SMI University offers a four years of degree program and , it has 8 semesters, 44 courses, and the 130 total credit hours",239,curriculum structure Bachelor of Business Administration
"SMI University offers a four years of degree program and, it has 8 semesters, 44 courses, and the 130 total credit hours",239,curriculum structure Bachelor in Business Administration
http://smiu.edu.pk/business/bba-program.php,242,where can i get the curriculum structure of BBA
http://smiu.edu.pk/business/bba-program.php,242,where can i get the list of semester courses of BBA
http://smiu.edu.pk/business/bba-program.php,242,where can i get the curriculum structure of Bachelor of Business Administration
"SMI University offers a 2 years of degree program and , it has 5 semesters, 76 courses, and the 76 total credit hours",245,curriculum structure BBA 2 years
"SMI University offers a 2 years of degree program and , it has 5 semesters, 76 courses, and the 76 total credit hours",245,curriculum structure Bachelor of Business Administration 2 years
"SMI University offers a 2 years of degree program and , it has 5 semesters, 76 courses, and the 76 total credit hours",245,curriculum structure Bachelor in Business Administration 2 years
http://business.smiu.edu.pk/bba2-program.php,248,where can i get the curriculum structure of BBA 2 years
http://business.smiu.edu.pk/bba2-program.php,248,where can i get the list of semester courses of BBA 2 years
http://business.smiu.edu.pk/bba2-program.php,248,where can i get the curriculum structure of Bachelor of Business Administration 2 years
"SMI University offers a four years of degree program and , it has 8 semesters, 44 courses, and the 130 total credit hours",251,curriculum structure accounting and Finance
"SMI University offers a four years of degree program and , it has 8 semesters, 44 courses, and the 130 total credit hours",251,curriculum structure BS Accounting and Finance
"SMI University offers a four years of degree program and , it has 8 semesters, 44 courses, and the 130 total credit hours",251,curriculum structure Bachelor's in Accounting and Finance
http://business.smiu.edu.pk/accounting-finance.php,254,where can i get the curriculum structure of BS Accounting and Finance
http://business.smiu.edu.pk/accounting-finance.php,254,where can i get the list of semester courses of BS Accounting and Finance
http://business.smiu.edu.pk/accounting-finance.php,254,where can i get the curriculum structure of BS Accounting and Finance
"SMIU offers 4 years degree program and students are required to complete minimum 138 credit hours, which include 46 courses: 9 compulsory, 9 electives, 9 foundation courses, 14 major courses and 5 elective courses ",257,curriculum structure BS Education
"SMIU offers 4 years degree program and students are required to complete minimum 138 credit hours, which include 46 courses: 9 compulsory, 9 electives, 9 foundation courses, 14 major courses and 5 elective courses ",257,curriculum structure Bachelor in Education
http://www.smiu.edu.pk/undergraduate-programs.php,259,where can i get the curriculum structure of BS Education
http://www.smiu.edu.pk/undergraduate-programs.php,259,where can i get the list of semester courses of BS Education
http://www.smiu.edu.pk/undergraduate-programs.php,259,where can i get the curriculum structure of Bachelor in Education
"SMI University offers a four years of degree program and , it has 8 semesters, 46 courses, and the 138 total credit hours",262,"curriculum structure BS Media Studies
"
"SMI University offers a four years of degree program and , it has 8 semesters, 46 courses, and the 138 total credit hours",262,"curriculum structure Bachelor's of Media Studies
"
http://media.smiu.edu.pk/bs-media-studies-new.php,264,"where can i get the curriculum structure of BS Media Studies
"
http://media.smiu.edu.pk/bs-media-studies-new.php,264,"where can i get the list of semester courses of BS Media Studies
"
http://media.smiu.edu.pk/bs-media-studies-new.php,264,"where can i get the curriculum structure of BS Media Studies
"
"SMI University offers a four years of degree program and , it has 8 semesters, 46 courses, and the 138 total credit hours",267,"curriculum structure BS Environmental Sciences

"
"SMI University offers a four years of degree program and , it has 8 semesters, 46 courses, and the 138 total credit hours",267,"curriculum structure Bachelor's of Environmental Sciences

"
http://smiu.edu.pk/env/bs-environmental-sciences.php,269,"where can i get the curriculum structure of BS Environmental Sciences

"
http://smiu.edu.pk/env/bs-environmental-sciences.php,269,"where can i get the list of semester courses of BS Environmental Sciences

"
http://smiu.edu.pk/env/bs-environmental-sciences.php,269,"where can i get the curriculum structure of BS Environmental Sciences

"
